word,difficulty
apple,1
banana,1
garden,1
lemon,1
simple,1
action,2
around,2
basket,2
carpet,2
dragon,2
easily,2
island,2
jacket,2
laptop,2
market,2
master,2
number,2
orange,2
pencil,2
people,2
rabbit,2
window,2
winter,2
yellow,2
breath,3
careful,3
cartoon,3
castle,3
diamond,3
escape,3
fabric,3
flight,3
frozen,3
guitar,3
helmet,3
hidden,3
impact,3
jungle,3
keeper,3
kettle,3
message,3
nation,3
outfit,3
planet,3
rocket,3
spoken,3
sudden,3
system,3
tender,3
tonight,3
tunnel,3
unless,3
wander,3
zipper,3
abandon,4
absorb,4
account,4
balance,4
brother,4
builder,4
climate,4
concept,4
dazzle,4
decent,4
deliver,4
domain,4
edition,4
elderly,4
elegant,4
exceed,4
feature,4
finding,4
fortune,4
forward,4
general,4
glance,4
gravel,4
harvest,4
healthy,4
helping,4
hundred,4
hustle,4
install,4
invent,4
journal,4
joyful,4
keeping,4
kingdom,4
knight,4
knowing,4
lasting,4
leather,4
leaving,4
liberty,4
limited,4
lively,4
married,4
mention,4
method,4
modest,4
monster,4
native,4
nothing,4
onward,4
oxygen,4
pathway,4
popular,4
purpose,4
puzzle,4
quickly,4
sailing,4
shelter,4
silence,4
suggest,4
thought,4
trailer,4
trouble,4
uniform,4
verbal,4
village,4
walking,4
warning,4
washing,4
website,4
weekend,4
welcome,4
whisper,4
wizard,4
zebra,4
achieve,5
advance,5
airplane,5
amazing,5
anything,5
astral,5
athlete,5
barrier,5
battery,5
bicycle,5
blender,5
bracket,5
bravely,5
breaker,5
browser,5
capable,5
caravan,5
central,5
ceramic,5
circuit,5
classic,5
cluster,5
compact,5
crispy,5
darkness,5
declare,5
defense,5
doormat,5
dweller,5
eastern,5
elephant,5
enchant,5
endless,5
factory,5
fantasy,5
farmers,5
fashion,5
fiction,5
flavour,5
flexible,5
forearm,5
gallery,5
gesture,5
glacier,5
glitter,5
glimpse,5
granite,5
graphic,5
gravity,5
grocery,5
guarded,5
hallway,5
harmful,5
harmony,5
hazard,5
highway,5
horizon,5
hostile,5
illegal,5
immense,5
impress,5
increase,5
insider,5
inspire,5
jealous,5
jewelry,5
jeweler,5
joining,5
journey,5
january,5
kidnap,5
keyword,5
kindness,5
knuckle,5
lacking,5
landing,5
learning,5
lecture,5
loyalty,5
machine,5
mandate,5
mansion,5
miracle,5
monitor,5
musical,5
mystery,5
napping,5
necklace,5
neighbor,5
nervous,5
neutral,5
nightly,5
notebook,5
nowhere,5
nuclear,5
obvious,5
observe,5
operate,5
opinion,5
optical,5
overall,5
package,5
painter,5
patient,5
payment,5
pending,5
perfect,5
private,5
quarter,5
quietly,5
radical,5
rainbow,5
realize,5
receive,5
reclaim,5
recycle,5
resolve,5
respond,5
retreat,5
routine,5
segment,5
serious,5
several,5
sketchy,5
stretch,5
textual,5
thunder,5
trumpet,5
trusted,5
umbrella,5
unknown,5
unusual,5
upgrade,5
upright,5
vanish,5
various,5
vibrant,5
vicious,5
victory,5
violent,5
virtual,5
warming,5
warrior,5
winding,5
yogurt,5
abstract,6
activity,6
aerobic,6
analyst,6
babylon,6
blender,6
blossm,6
capsule,6
concrete,6
crackle,6
creative,6
dazzling,6
density,6
describe,6
diagram,6
diploma,6
downtown,6
drainage,6
earring,6
eclipse,6
educated,6
elevate,6
elevator,6
embassy,6
enigma,6
feelings,6
festival,6
fixture,6
foliage,6
fraction,6
fragment,6
gateway,6
generous,6
genuine,6
gradient,6
greatest,6
greetings,6
happening,6
hardware,6
heavier,6
heavenly,6
indexed,6
inquiry,6
internet,6
javelin,6
jointly,6
joystick,6
judgment,6
junction,6
justify,6
kangaroo,6
keyboard,6
kindred,6
language,6
lawsuit,6
listener,6
lunatic,6
majority,6
midnight,6
movement,6
navigate,6
nominal,6
nonsense,6
northern,6
obscure,6
obstacle,6
obsolete,6
octopus,6
offering,6
onboard,6
oncoming,6
overflow,6
parallel,6
pastime,6
phantom,6
pleasure,6
property,6
qualify,6
quickest,6
quilted,6
quench,6
quirky,6
quoting,6
reaction,6
realized,6
research,6
resident,6
revenue,6
rhythm,6
rotating,6
salvage,6
sandwich,6
satisfy,6
seedling,6
seventh,6
software,6
solution,6
tactical,6
talented,6
tantrum,6
template,6
terminal,6
terrain,6
textual,6
ultimate,6
unified,6
urgency,6
utility,6
vacancy,6
valuable,6
valiant,6
variable,6
vacation,6
vertical,6
warranty,6
watchful,6
wireless,6
yankees,6
yearbook,6
yearned,6
yourself,6
youthful,6
zipping,6
activism,7
bacteria,7
campaign,7
democrat,7
equation,7
eternity,7
firewall,7
gameplay,7
handily,7
heartily,7
heritage,7
ignition,7
imperial,7
insanely,7
jealousy,7
jubilant,7
knockout,7
leverage,7
literary,7
loudest,7
magnitude,7
moisture,7
notation,7
observer,7
opposing,7
optimize,7
paranoid,7
pentagon,7
protocol,7
quantity,7
quartrt,7
quartz,7
quotient,7
queue,7
resource,7
teamwork,7
tsunami,7
underdog,7
universe,7
uranium,7
volcanic,7
watchdog,7
wildlife,7
yachting,7
yearling,7
yearlong,7
yielding,7
zealous,7
zigzag,7
zoology,7
normalize,8
resilient,8
sentient,8
